,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
0,Al2Ge2O7,Al2Ge2O7_Va_O1,3.2978,-2.702367327272727,2.406341895839076,3.103427181710611,5.416601799999976,0,191,-1.502819088333178,8.978846208475446
1,Al2Ge2O7,Al2Ge2O7_Va_O2,3.2978,-2.702367327272727,2.3974576458626684,3.101687405729366,5.411478320000137,0,255,-1.502819088333178,9.003316704304606
2,Al2Ge2O7,Al2Ge2O7_Va_O3,3.2978,-2.702367327272727,2.72604428315262,2.596100957120228,3.8145812599999633,0,287,-1.502819088333178,7.530638176666356
3,Al2Ge2O7,Al2Ge2O7_Va_O4,3.2978,-2.702367327272727,2.6131783167219456,2.043769290199058,4.388867460000151,0,351,-1.502819088333178,6.355127356099725
4,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,7.69421869999986,0,269,-2.8945619964631555,10.282703088187338
5,Al2PbO4,Al2PbO4_Va_O1,3.8921,-2.89378359,2.273300437305284,2.391473835296565,6.395135430000105,0,191,-1.1369603723458594,6.759401088167275
6,Al2PbO4,Al2PbO4_Va_O2,3.8921,-2.89378359,2.2577006846753074,2.127479261236284,6.474721879999729,0,239,-1.1369603723458594,6.631447912545502
7,Al2PbO4,Al2PbO4_Va_O3,3.8921,-2.89378359,2.271189956610316,2.3477590408505455,6.6248099899997985,0,335,-1.1369603723458594,6.428958272437237
8,Al4Bi2O9,Al4Bi2O9_Va_O1,2.6141999999999994,-2.857885394000002,2.3848563900027937,2.7629914986258335,5.484838260000183,0,191,-0.9858147743813158,7.71622170503863
9,Al4Bi2O9,Al4Bi2O9_Va_O2,2.6141999999999994,-2.857885394000002,2.2923045988216,2.525664865147771,7.171021660000301,0,239,-0.9858147743813158,7.862173880733885
10,Al4Bi2O9,Al4Bi2O9_Va_O3,2.6141999999999994,-2.857885394000002,2.3575196255115665,2.820929043431028,5.552068420000419,0,359,-0.9858147743813158,6.933625784843771
11,Al4Bi2O9,Al4Bi2O9_Va_O4,2.6141999999999994,-2.857885394000002,2.177139080811319,2.1832794803488595,6.636335620000304,0,311,-0.9858147743813158,5.33293635771998
12,AlAsO4,AlAsO4_Va_O1,4.3858,-2.444837554166667,2.6675,2.1081297060123902,3.7700192500000274,0,215,-0.6589084382122885,5.45312733045218
13,AlSbO4,AlSbO4_Va_O1,1.722599999999999,-2.5433669000000005,2.597103509660969,2.911445950223812,4.638389600000105,0,191,-0.5208045461292565,7.655444563366199
14,AlSbO4,AlSbO4_Va_O2,1.722599999999999,-2.5433669000000005,2.672896490339031,3.6551000107041887,4.367477630000062,0,159,-0.5208045461292565,7.110983042173892
15,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,3.803732819999718,0,287,-1.150088447140494,7.552400983529943
16,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,3.756670709999875,0,383,-1.150088447140494,7.081817293565289
17,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,3.7697533399999745,0,479,-1.150088447140494,7.131939691002804
